GeneID	GeneSymbol	# drug associations
834	CASP1	41
843	CASP10	10
100506742	CASP12	15
835	CASP2	19
836	CASP3	360
837	CASP4	20
839	CASP6	22
840	CASP7	113
841	CASP8	158
9994	CASP8AP2	3
842	CASP9	202
846	CASR	5
831	CAST	5
847	CAT	114
257044	CATSPERE	1
57828	CATSPERG	1
857	CAV1	34
859	CAV3	3
284119	CAVIN1	6
8436	CAVIN2	3
112464	CAVIN3	2
255057	CBARP	2
865	CBFB	1
867	CBL	2
868	CBLB	1
23624	CBLC	1
79872	CBLL1	1
140689	CBLN4	1
873	CBR1	14
874	CBR3	4
84869	CBR4	1
875	CBS	4
10951	CBX1	3
84733	CBX2	2
11335	CBX3	3
8535	CBX4	2
23468	CBX5	4
23466	CBX6	1
57332	CBX8	1
54862	CC2D1A	2
387707	CC2D2B	1
55749	CCAR1	8
57805	CCAR2	2
92922	CCDC102A	1
256309	CCDC110	1
84317	CCDC115	1
150275	CCDC117	1
151903	CCDC12	1
90060	CCDC120	2
79635	CCDC121	1
115098	CCDC124	3
165055	CCDC138	2
339965	CCDC158	2
643677	CCDC168	1
343099	CCDC18	1
28952	CCDC22	2
55246	CCDC25	1
79140	CCDC28B	1
728621	CCDC30	1
80125	CCDC33	1
124808	CCDC43	1
57003	CCDC47	3
152137	CCDC50	3
79714	CCDC51	1
8030	CCDC6	5
729440	CCDC61	1
160762	CCDC63	1
83446	CCDC70	1
64925	CCDC71	2
151887	CCDC80	1
79780	CCDC82	1
11007	CCDC85B	1
317762	CCDC85C	2
79080	CCDC86	2
55704	CCDC88A	3
440193	CCDC88C	1
26093	CCDC9	4
80212	CCDC92	1
54520	CCDC93	3
54535	CCHCR1	1
881	CCIN	1
885	CCK	2
887	CCKBR	2
6346	CCL1	3
6356	CCL11	13
6357	CCL13	2
6361	CCL17	4
6362	CCL18	3
6347	CCL2	107
6364	CCL20	8
6367	CCL22	2
6369	CCL24	2
10344	CCL26	2
10850	CCL27	3
6348	CCL3	27
6351	CCL4	19
6352	CCL5	44
6354	CCL7	3
6355	CCL8	2
83605	CCM2	1
3491	CCN1	9
1490	CCN2	16
8840	CCN4	2
8839	CCN5	1
8900	CCNA1	9
890	CCNA2	51
891	CCNB1	63
9133	CCNB2	3
892	CCNC	1
595	CCND1	132
894	CCND2	18
896	CCND3	24
23582	CCNDBP1	1
898	CCNE1	47
9134	CCNE2	5
899	CCNF	2
900	CCNG1	2
901	CCNG2	2
902	CCNH	3
10983	CCNI	1
8812	CCNK	2
57018	CCNL1	2
81669	CCNL2	1
10309	CCNO	1
904	CCNT1	2
