threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.2	14	240	0.504	0.517	72.017
0.2	14	260	0.511	0.468	77.782
0.2	14	280	0.522	0.417	87.87
0.2	14	300	0.53	0.383	100.472
0.2	14	320	0.534	0.363	113.077
0.2	14	340	0.536	0.375	122.094
0.2	14	360	0.538	0.395	125.348
0.2	14	380	0.538	0.395	125.348
0.2	14	400	0.538	0.395	125.348
0.2	14	420	0.538	0.395	125.348
0.2	14	440	0.538	0.395	125.348
0.2	14	460	0.538	0.395	125.348
0.2	14	480	0.538	0.395	125.348
0.2	14	500	0.538	0.395	125.348
0.2	14	520	0.538	0.395	125.348
0.2	14	540	0.538	0.395	125.348
0.2	14	560	0.538	0.395	125.348
0.2	14	580	0.538	0.395	125.348
0.2	14	600	0.538	0.395	125.348
0.2	15	20	0.307	1.481	96.327
0.2	15	40	0.368	1.32	77.364
0.2	15	60	0.417	1.179	74.013
0.2	15	80	0.437	1.087	67.072
0.2	15	100	0.46	0.998	64.869
0.2	15	120	0.476	0.903	63.99
0.2	15	140	0.488	0.821	64.137
0.2	15	160	0.492	0.74	64.062
0.2	15	180	0.499	0.678	65.24
0.2	15	200	0.504	0.618	67.408
0.2	15	220	0.509	0.56	70.744
0.2	15	240	0.509	0.517	73.448
0.2	15	260	0.513	0.469	78.429
0.2	15	280	0.525	0.413	88.567
0.2	15	300	0.531	0.371	101.067
0.2	15	320	0.535	0.35	113.424
0.2	15	340	0.539	0.362	123.396
0.2	15	360	0.54	0.383	127.628
0.2	15	380	0.54	0.383	127.628
0.2	15	400	0.54	0.383	127.628
0.2	15	420	0.54	0.383	127.628
0.2	15	440	0.54	0.383	127.628
0.2	15	460	0.54	0.383	127.628
0.2	15	480	0.54	0.383	127.628
0.2	15	500	0.54	0.383	127.628
0.2	15	520	0.54	0.383	127.628
0.2	15	540	0.54	0.383	127.628
0.2	15	560	0.54	0.383	127.628
0.2	15	580	0.54	0.383	127.628
0.2	15	600	0.54	0.383	127.628
0.3	5	20	0.309	1.423	88.771
0.3	5	40	0.365	1.284	71.803
0.3	5	60	0.39	1.155	65.985
0.3	5	80	0.412	1.058	60.86
0.3	5	100	0.432	0.95	58.47
0.3	5	120	0.444	0.853	56.493
0.3	5	140	0.458	0.759	56.272
0.3	5	160	0.466	0.692	55.979
0.3	5	180	0.473	0.621	56.436
0.3	5	200	0.479	0.562	57.511
0.3	5	220	0.489	0.531	62.635
0.3	5	240	0.495	0.52	66.808
0.3	5	260	0.491	0.536	68.836
0.3	5	280	0.492	0.543	69.391
0.3	5	300	0.492	0.543	69.391
0.3	5	320	0.492	0.543	69.391
0.3	5	340	0.492	0.543	69.391
0.3	5	360	0.492	0.543	69.391
0.3	5	380	0.492	0.543	69.391
